Address1,Address2,Style,Price,Beds,Baths,Sqft
1010 and 1012 N Turtle Creek Dr,"Rogers, AR 72756",Apartment,1295,2,1,1040
1299 Electric Ave,"Springdale, AR 72764",Apartment,1194,2,2,960
150 Ashlea Gdns,"New Holland, PA 17557",Apartment,1355,3,2,1188
884 Palisades Ave Unit 1,"Springdale, AR 72764",Apartment,2195,4,2,1982
1749 Commerce Ct,"Logansport, IN 46947",Apartment,497,1,,
624 Howard St,"Hutchinson, KS 67501",House,685,2,1,720
2033 Virginia Ave,"Goodlettsville, TN 37072",House,3292,3,2,2441
6100 Ashbury St # 9217,"North Richland Hills, TX 76180",Apartment,1760,2,2,1082
Brooke Village Lyndel Ct,"Dexter, MO 63841",Apartment,750,2,1,1100
2896 W Old Farmington Rd,"Fayetteville, AR 72704",House,1795,3,2,1580
Spacious and Newly Renovated Padsplit in Clinton Park,"Houston, TX 77029",House,570,6,2,
1511 Lucille Tx St Unit Seguin,"Seguin, TX 78155",Condo,1725,3,2,1372
1713 Locust St,"Hutchinson, KS 67502",House,795,2,1,
6753 Briley Dr,"North Richland Hills, TX 76180",House,2250,3,2,1807
8801 Holdrege St,"Lincoln, NE 68505",Apartment,1975,2,2,1221
6424 Iron Horse Blvd # 18H,"North Richland Hills, TX 76180",Apartment,1177,1,1,700
1813 N N St,"Fort Smith, AR 72901",Apartment,850,3,2,
8601 Ice House Dr,"North Richland Hills, TX 76180",Apartment,2693,4,3,2417
1601 Weyland Dr # 1-1051,"North Richland Hills, TX 76180",Apartment,1152,1,1,680
3715 Rainbow Dr,"Rainbow City, AL 35906",Apartment,795,3,2,1098
2944 W 5th St,"Jacksonville, FL 32254",House,1050,3,1,984
411 Garrison Ave,"Fort Smith, AR 72901",Apartment,Contact For Price,1,1,
100 Lennox Pl,"Goodlettsville, TN 37072",Apartment,1775,3,2,1228
14 W 1st Ave,"Hutchinson, KS 67501",Apartment,2100,2,2,1500
1101 Dorothy Rodham Way,"North Little Rock, AR 72114",Apartment,895,Studio,1,1380
2404 S O St,"Fort Smith, AR 72901",House,800,2,1,1100
1402 Willis Ave Apt 5,"Perry, IA 50220",House,720,2,1,675
610 Mulberry St Apt 201,"Waterloo, IA 50703",Apartment,1100,Studio,1,1759
8600 Leighton Ave,"Lincoln, NE 68507",Apartment,720,1,1,770
20466 Sonora Rd,"Springdale, AR 72764",House,1895,3,3,2406
2600 15th St,"Vernon, TX 76384",House,400,Studio,,1186
1944 Garrick Ave,"Warren, MI 48091",House,975,3,1,944
344 Desert Willow,"Seguin, TX 78155",House,1950,4,2,1796
1721 S U St,"Fort Smith, AR 72901",Apartment,485,1,1,
11401 Old Nuckols Rd,"Glen Allen, VA 23059",Apartment,2459,3,2,1300
574 N 24th St,"Rogers, AR 72756",Apartment,1400,2,2,1400
620 S Charles St Unit 620,"Sherman, TX 75090",Other,1425,3,2,1415
811 Vestal St,"Storm Lake, IA 50588",House,999,2,1,564
1907A N Magnolia St,"North Little Rock, AR 72114",Apartment,525,Studio+,1,1040
23857 Panama Ave,"Warren, MI 48091",House,1190,1,1.5,1003
5709 E Belknap St Apt 1143,"Haltom City, TX 76117",Apartment,1050,1,1,418
2440 Ayers Dr,"Seguin, TX 78155",House,2100,4,2.5,2094
4555 W Wedge Dr,"Fayetteville, AR 72704",House,2695,4,3.5,2473
9724 Virginia Centerway Pl,"Glen Allen, VA 23059",Apartment,1448,3,2,1325
736 E 12th Ave,"Emporia, KS 66801",Apartment,675,4,1,1082
1601 Weyland Dr # 2-2108,"North Richland Hills, TX 76180",Apartment,1220,1,1,874
811 W Reelfoot Ave Lot 1,"Union City, TN 38261",House,500,Studio,1,
3205 Sweetwater Way,"Sherman, TX 75090",House,2295,4,3,2362
1270 N Trinity Dr,"Fayetteville, AR 72704",Apartment,1275,2,2,1026
520 Lafayette St Apt A,"Waterloo, IA 50703",Apartment,750,2,1,800
331 W Nolte St,"Seguin, TX 78155",House,2695,4,2,2435
2913 W 10th St,"Jacksonville, FL 32254",House,1125,3,1,904
641 N Keats Dr Unit 1,"Fayetteville, AR 72704",Apartment,2700,4,4,1711
924 Sycamore St Apt 1,"Waterloo, IA 50703",Apartment,1225,2,2,1054
8801 Holdrege St,"Lincoln, NE 68505",Apartment,965,Studio,1,539
2748 2748 and 2750 W Wildwood Dr,"Fayetteville, AR 72704",Apartment,1595,3,2,1550
219 N Willow St,"Sherman, TX 75090",House,1650,3,2,1209
500 N 7th St,"Rogers, AR 72756",Apartment,2400,2,1,952
24 Coventry Dr SE,"Rome, GA 30161",House,2795,4,3.5,3152
1612 S X St,"Fort Smith, AR 72901",Apartment,595,1,1,558
622 S Charles St Unit 622,"Sherman, TX 75090",Apartment,1475,4,2,1415
4708 Haltom Rd,"Haltom City, TX 76117",Townhome,2200,2,2,1161
6715 Buenos Aires Dr # 2021,"North Richland Hills, TX 76180",Apartment,1292,2,1,855
6360 W Copper Ridge Ln,"Fayetteville, AR 72704",Other,1495,3,2,1350
791 S Rupple Rd Unit 2,"Fayetteville, AR 72704",Other,3200,4,4.5,2032
15974 County Road 612,"Dexter, MO 63841",Apartment,485,1,1,450
1902 E Oriole St,"Springdale, AR 72764",House,1700,3,2,1676
218 Mulberry St Unit 2,"Waterloo, IA 50703",Duplex/Triplex,625,2,1,640
736 N Honey Locust Ave,"Fayetteville, AR 72704",House,1395,2,2,694
1504 Allen St Apt 7,"North Little Rock, AR 72114",Apartment,600,1,1,600
909 Constitution St,"Emporia, KS 66801",Apartment,500,2,1,
1601 Weyland Dr # 1-2105,"North Richland Hills, TX 76180",Apartment,1595,2,2,1146
2605 W Olive St,"Rogers, AR 72756",Apartment,850,1,1,900
6424 Iron Horse Blvd # 01I,"North Richland Hills, TX 76180",Apartment,1192,1,1,700
791 S Rupple Rd Unit 1,"Fayetteville, AR 72704",Other,3200,4,4.5,2032
1231 W Court St,"Seguin, TX 78155",Apartment,1316,4,2,1591
1406 Oriole St,"Springdale, AR 72764",Apartment,1249,3,2,1152
322 New Hampshire St,"Houston, TX 77029",Other,1600,3,2,972
1511 Boston St,"Fort Smith, AR 72901",Apartment,595,1,1,622
403 S Broad St SW,"Rome, GA 30161",Apartment,875,2,1,
119 Mohawk St,"Waterloo, IA 50703",Apartment,1150,4,1.5,
7544 Theut Ave,"Warren, MI 48091",Apartment,925,2,1,900
6715 Buenos Aires Dr # 2092,"North Richland Hills, TX 76180",Apartment,1383,2,1,950
2522 Callier Springs Rd SE,"Rome, GA 30161",Apartment,1150,1,1,708
3810 S Thompson Ave Unit 7,"Springdale, AR 72764",House,750,2,1,
4401 Glenview Ct,"North Richland Hills, TX 76180",Apartment,1080,1,1,564
8515 26 Blvd,"North Richland Hills, TX 76180",Apartment,1685,2,2,1013
6100 Ashbury St Apt 2201,"North Richland Hills, TX 76180",Apartment,2930,3,2,1389
1841 Dick Smith St,"Springdale, AR 72764",House,1895,3,2,1883
125 Cartwright Pkwy,"Goodlettsville, TN 37072",House,2390,3,2,2009
3810 S Thompson Ave Unit 32,"Springdale, AR 72764",House,900,2,1,
130 Perry Bend Cir,"Easley, SC 29640",Apartment,1603,3,2,1444
7265 Forest Dr,"Kansas City, KS 66106",Apartment,1399,4,2,1680
304 E Compass Way,"Easley, SC 29640",Townhome,1749,3,2.5,1634
101 Brimmer Ave,"New Holland, PA 17557",Apartment,1495,3,1,
1304 E 5th Ave,"Hutchinson, KS 67501",House,800,2,1,1000
915 Melson Ave,"Jacksonville, FL 32254",House,1254,3,1,1130
719 E Mulberry St Unit 1,"Sherman, TX 75090",Apartment,2000,Studio,,2268
4407 S 26th St,"Fort Smith, AR 72901",House,1195,2,1,936
2894 Seaton Circuit W,"Warren, MI 48091",Condo,1650,2,1.5,1060
4169 W Sardinia Way,"Fayetteville, AR 72704",House,2000,3,3.5,1976
910 Pinedale Rd,"Rainbow City, AL 35906",House,1800,3,3,
1608 S Elm St,"Sherman, TX 75090",House,2400,4,2,1936
1500 Francis Rd,"Glen Allen, VA 23059",House,2295,4,2,2093
245 Lone Oak St,"Seguin, TX 78155",House,1800,3,2,1618
3303 Maplewood Dr,"Logansport, IN 46947",Apartment,695,1,1,805
6816 S 137th Plz,"Omaha, NE 68137",Apartment,1200,3,2,1127
3010 Jones St,"Rainbow City, AL 35906",Apartment,650,4-Mar,2,1097 - 1299
2601 N Hutchinson St Unit 2601-8,"Pine Bluff, AR 71602",Apartment,550,1,1,600
1924 Moss St Unit A,"North Little Rock, AR 72114",Apartment,625,1,1,675
2638 W Old Farmington Rd,"Fayetteville, AR 72704",Apartment,1230,Studio+,1,300
1509 N Monroe St,"Hutchinson, KS 67501",House,900,3,1,1300
115 W Wilson Ave Unit 1,"Sherman, TX 75090",Apartment,1400,3,2,1233
3001 Jane Ln,"Haltom City, TX 76117",Apartment,1465,3,2,1082
1111 N Highway 123 Byp,"Seguin, TX 78155",Condo/Townhome,1292,2,2,954
1601 Weyland Dr # 1-2039,"North Richland Hills, TX 76180",Apartment,1184,1,1,752
309 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
6715 Buenos Aires Dr # 1015,"North Richland Hills, TX 76180",Apartment,1407,2,1,855
1601 Weyland Dr # 2-1503,"North Richland Hills, TX 76180",Apartment,1068,1,1,568
202 E 12th St SW,"Rome, GA 30161",House,950,2,1,
Shadowalk Dr,"Van Buren, AR 72956",Apartment,725,3,2,1580
691 N Meadowlands Dr Unit 1,"Fayetteville, AR 72704",Apartment,2100,4,2,1960
202 E Emma Ave,"Springdale, AR 72764",Apartment,1125,Studio,1,470
6424 Iron Horse Blvd # 02O,"North Richland Hills, TX 76180",Apartment,1147,1,1,700
2007 S Q St,"Fort Smith, AR 72901",Apartment,750,2,1,
1302 S 32nd St Unit 1302-10,"Kansas City, KS 66106",Apartment,1095,2,1,850
4401 Glenview Ct,"North Richland Hills, TX 76180",Apartment,1645,3,2,1467
1311 Laurentide St,"Houston, TX 77029",House,1600,3,1,1008
1904G N St Ft,"Fort Smith, AR 72901",Apartment,640,1,1,
1830 Alfen St Unit 1,"Jacksonville, FL 32254",Apartment,1450,3,1.5,1207
1408 Christy Dr Apt C,"Springdale, AR 72764",Other,950,2,1.5,1088
4525 Hunter St,"Haltom City, TX 76117",House,1800,3,2,1061
4201 City Point Dr W,"North Richland Hills, TX 76180",Apartment,1560,1,1,667
239 Madison St,"Waterloo, IA 50703",House,750,2,1,816
6100 Ashbury St Apt 3204,"North Richland Hills, TX 76180",Apartment,1445,1,1,784
117 E Main St,"New Holland, PA 17557",Apartment,550,1,2,
1055 Melson Ave,"Jacksonville, FL 32254",House,1500,3,2,1280
1601 Weyland Dr # 2-0902,"North Richland Hills, TX 76180",Apartment,1421,1,1,1064
1931 W 24th St,"Emporia, KS 66801",Apartment,475,Studio,1,580
7068 Hupp Ave,"Warren, MI 48091",House,1000,2,1,
1277 N Rupple Rd,"Fayetteville, AR 72704",Other,2100,3,3.5,1703
7731 N College Cir # 7734A,"North Richland Hills, TX 76180",Apartment,1457,2,2,1067
3332 Duncan St,"Saint Joseph, MO 64507",House,1250,3,2,
2512 S O St,"Fort Smith, AR 72901",House,1200,3,2,1279
706 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2002
850 Parkland Pl,"Glen Allen, VA 23059",Townhome,2400,3,2.5,
3810 S Thompson Ave Unit 33,"Springdale, AR 72764",House,900,2,1,
6100 Ashbury St # 5210,"North Richland Hills, TX 76180",Apartment,1780,2,2,1082
6601 S 108th Ct,"Omaha, NE 68137",Apartment,1375,2,2,1047
3233 Bordeaux St,"Sherman, TX 75090",House,2900,3,2,1600
6100 Ashbury St # 9318,"North Richland Hills, TX 76180",Apartment,2665,3,2,1389
1211 N Rupple Rd,"Fayetteville, AR 72704",House,2200,3,3.5,
2520 N E St,"Fort Smith, AR 72901",Apartment,625,1,1,550
1733 Redwood St,"Seguin, TX 78155",House,1700,3,2,1602
3114 W Anne St,"Fayetteville, AR 72704",House,1350,3,2,
2800 Vicksburg St,"Fort Smith, AR 72901",Apartment,625,1,1,
1601 Weyland Dr # 2-1003,"North Richland Hills, TX 76180",Apartment,1685,2,2,1261
5613 Coventry Park Dr,"Haltom City, TX 76117",Apartment,1653,2,2,1000
215 S Laurel St,"North Little Rock, AR 72114",Apartment,895,4,2,1264
2146 Burton Ave,"Waterloo, IA 50703",House,2200,3,2,1127
1511 Lucille St,"Seguin, TX 78155",Duplex/Triplex,1725,3,2,1372
224 Club Vw W,"Seguin, TX 78155",House,1995,3,2,1964
213 Whittier Ave Apt 3,"Waterloo, IA 50703",Apartment,550,1,1,
206 Smith St NE,"Rome, GA 30161",Apartment,695,1,1,
401 E 1st St Unit C,"Waterloo, IA 50703",Duplex/Triplex,700,2,1,620
K&r Rental Properties,"Rome, GA 30161",Apartment,995,2,1,
2748 and 2750 W Wildwood Dr,"Fayetteville, AR 72704",Apartment,1595,3,2,1550
1500 Ingram St,"Humboldt, TN 38343",House,900,3,1,
4821 Ash St,"North Richland Hills, TX 76180",House,2950,4,3,2591
5822 Geronimo Way,"Seguin, TX 78155",House,2050,4,2,1910
606 Lafayette St Apt 301,"Waterloo, IA 50703",Apartment,1000,Studio,1,1000
7204 Prospect Ave,"Warren, MI 48091",House,1315,3,1,1117
611 Ellen Dr Unit C,"Goodlettsville, TN 37072",House,1000,1,1,500
75 Riverfront Dr,"North Little Rock, AR 72114",Apartment,1951,2,2,1484
2216 San Jacinto Way,"Sherman, TX 75090",House,1925,3,2,1350
2700 N Washington St,"Hutchinson, KS 67502",Apartment,Contact For Price,2-Jan,1,540 - 801
1317 E 10th Ave,"Hutchinson, KS 67501",House,1450,2,1,
164 Christopher St,"Rainbow City, AL 35906",Apartment,938,2,2,1000
1600 LA Salle Dr,"Sherman, TX 75090",Apartment,825,Studio,1,475
204 Nixon Ave SW,"Rome, GA 30161",Apartment,695,2,1,720
2523 Perry Park Ave,"Perry, IA 50220",Apartment,625,1,1,550
116 N Plum St,"Hutchinson, KS 67501",Apartment,425,1,1,
36 Hill Side Ln,"Sanford, NC 27332",Other,1000,3,2,
3303 Maplewood Dr,"Logansport, IN 46947",Apartment,795,2,1,907
61 N Manhattan Way,"Fayetteville, AR 72704",House,1900,3,2,1463
100 Lennox Pl,"Goodlettsville, TN 37072",Apartment,1371,1,1,842
4909 Wyoming Trl,"North Richland Hills, TX 76180",House,2245,3,2,
1822 Oakwood St Unit B,"Haltom City, TX 76117",Other,1200,1,1,588
3401 Willowcrest Dr,"North Richland Hills, TX 76117",Condo,719,1,1,660
21351 Ryan Rd,"Warren, MI 48091",House,1500,3,2,2000
1622-1705 N I St,"Fort Smith, AR 72901",Apartment,625,2,1,
293 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
534 N Salem Rd,"Fayetteville, AR 72704",House,2700,3,2.5,2090
4244 Joliet Ave,"Warren, MI 48091",House,1300,3,1,700
310 W Cherry St,"Rogers, AR 72756",House,2700,2,1,1953
1214 Stone Marker Dr,"Monroe, NC 28112",House,2395,4,2.5,2430
633 Exmoor Dr,"Goodlettsville, TN 37072",Townhome,1975,3,2.5,1503
315 Texas Ln,"Springdale, AR 72764",Condo,1249,3,2,1280
1501-1503 Lucille St,"Seguin, TX 78155",Townhome,1600,3,2,1372
130 Perry Bend Cir,"Easley, SC 29640",Apartment,1142,1,1,864
601 S 5th St,"Easley, SC 29640",Apartment,1590,1,1,569
36 Birdies Roost,"Sanford, NC 27332",House,2300,4,3.5,3104
841 Indigo Way,"Seguin, TX 78155",House,1995,4,2,1832
410 E 1st St Unit B,"Waterloo, IA 50703",Duplex/Triplex,625,1,1,650
756 Saranac St,"Jacksonville, FL 32254",House,1250,2,1,1050
5709 E Belknap St Apt 1132,"Haltom City, TX 76117",Apartment,1125,Studio,1,327
333 Northcreek Blvd,"Goodlettsville, TN 37072",Apartment,1649,1,2-Jan,
1601 Weyland Dr # 3-0375,"North Richland Hills, TX 76180",Apartment,1257,1,1,752
1307-1321 Mulberry St,"Van Buren, AR 72956",Apartment,800,2,1,
7520 Westminster Ave,"Warren, MI 48091",Apartment,1100,Studio,1,
1201 Triplett Dr,"Emporia, KS 66801",Apartment,551,1,1,495
7731 N College Cir # 7766B,"North Richland Hills, TX 76180",Apartment,1064,1,1,727
228 E Market St Unit 107,"Dexter, MO 63841",Apartment,850,1,1,400
1511 Boston St,"Fort Smith, AR 72901",Apartment,725,2,1,825
2801 Vicksburg St,"Fort Smith, AR 72901",Apartment,625,1,1,
825 S Rupple Rd Unit 2,"Fayetteville, AR 72704",Other,3200,4,4.5,2032
6100 Ashbury St Apt 3210,"North Richland Hills, TX 76180",Apartment,1635,2,2,1082
5416 Ammons St,"Haltom City, TX 76117",House,1750,3,2,1300
765 Old Ida Rd,"Sherman, TX 75090",House,1600,2,1.5,1395
628 Sycamore St # 1,"Waterloo, IA 50703",Condo,1400,2,2,
6715 Buenos Aires Dr # 2068,"North Richland Hills, TX 76180",Apartment,1123,1,1,660
200 E 12th St SW,"Rome, GA 30161",House,950,2,1,
1482 Savannah Pr,"Seguin, TX 78155",House,2500,4,2,2492
4133 W Santa Maria Ln,"Fayetteville, AR 72704",Other,1950,3,2.5,1830
4125 Augusta St,"Vernon, TX 76384",Apartment,Contact For Price,3-Jan,2-Jan,605 - 996
1601 Weyland Dr # 2-1106,"North Richland Hills, TX 76180",Apartment,1157,1,1,568
803 S Rupple Rd Unit 1,"Fayetteville, AR 72704",Other,2400,3,3.5,1738
920 Ashland Ave,"Waterloo, IA 50703",House,800,2,1,1092
222 222 01-1/2 13th St,"Logansport, IN 46947",Apartment,895,2,1,1290
6715 Buenos Aires Dr # 1012,"North Richland Hills, TX 76180",Apartment,1375,2,1,855
708 Stonemanor Bay,"Seguin, TX 78155",House,1897,3,2,1364
4433 Union St,"North Richland Hills, TX 76180",Townhome,2650,3,2.5,1673
6100 Ashbury St,"North Richland Hills, TX 76180",Apartment,2645,3,2,1470
2311 San Jacinto Way,"Sherman, TX 75090",House,1900,3,2,1297
2777 W Emil Dr,"Fayetteville, AR 72704",House,2250,2,2,1480
8921 Grand Ave,"North Richland Hills, TX 76180",Townhome,3500,2,2.5,1882
4510 Alma Hwy,"Van Buren, AR 72956",Apartment,700,2,1,880
300 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
6250 Rosewood Dr,"North Richland Hills, TX 76180",Apartment,1375,1,1,722
3089 W Mulberry St,"Fayetteville, AR 72704",House,1900,3,2,1264
5812 Antonio Pl,"Seguin, TX 78155",House,1895,4,2.5,1950
2601 N Huchinson St Unit 2601-10,"Pine Bluff, AR 71602",Apartment,550,1,1,600
132 Cobblestone Place Dr,"Goodlettsville, TN 37072",Townhome,1700,2,2.5,1312
2017 Briarberry Ln,"Monroe, NC 28112",House,1825,3,2,1276
2322 S I St,"Fort Smith, AR 72901",Apartment,675,1,1,689
726 E Emma Ave,"Springdale, AR 72764",Apartment,1350,2,2,884
1050 Louisville Hwy,"Goodlettsville, TN 37072",House,1299,2,1,1108
3009 3009 S Quincy # 1-8,"Fort Smith, AR 72901",Apartment,500,1,1,600
1004 E 11th St,"North Little Rock, AR 72114",House,875,2,1.5,1080
11110 Hames Ln,"Glen Allen, VA 23059",House,2295,3,2,1924
625 N Longfellow Ln,"Fayetteville, AR 72704",House,1695,3,2.5,1800
2827 N Cassius Ln,"Fayetteville, AR 72704",House,1895,4,2,2200
1601 Weyland Dr # 2-0204,"North Richland Hills, TX 76180",Apartment,1735,2,2,1261
7284 Orchard Ave,"Warren, MI 48091",House,1300,3,1,
3405 Lindsay Dr,"Logansport, IN 46947",Apartment,1031,3,2,1070
315 E Compass Way,"Easley, SC 29640",Townhome,1749,3,2.5,1634
9301 Baffy Ct Apt E,"Glen Allen, VA 23059",House,1700,2,2,1150
5906 Antonio Pl,"Seguin, TX 78155",House,1970,4,2,1627
3509 W Cedar Cir,"Rogers, AR 72756",Apartment,1150,2,2,1120
6525 Glenview Dr,"North Richland Hills, TX 76180",Apartment,1153,1,1,800
316 E Compass Way,"Easley, SC 29640",Townhome,1749,3,2.5,1634
903 Walter Walter Unit 903 and 903 Walter Walter,"Monroe, NC 28112",Condo,699,1,1,100
545 N Salem Rd,"Fayetteville, AR 72704",House,2500,4,2.5,2252
Towne West,"Fayetteville, AR 72704",Apartment,3000,4,4,2000
819 Southridge Dr,"Monroe, NC 28112",House,2395,4,2.5,2832
8359 N Harwood Rd,"North Richland Hills, TX 76180",Apartment,999,1,1,665
3810 S Thompson Ave Unit 5,"Springdale, AR 72764",House,1000,2,1,
11224 Roxbury Dr Unit 2,"Omaha, NE 68137",Duplex/Triplex,1400,2,1,808
3892 Lesia Dr,"Warren, MI 48091",Townhome,1690,4,5,1600
806 E Mountain St,"Seguin, TX 78155",House,2300,3,1,1871
1299 Electric Ave,"Springdale, AR 72764",Apartment,713,Studio,1,540
516 N Elliott St,"Sherman, TX 75090",House,1395,3,1,836
6901 NE Loop 820,"North Richland Hills, TX 76180",Apartment,1655,2,2,1025
3416-3418 Scott Cir,"Seguin, TX 78155",Apartment,1575,3,2,1372
5101 Springlake Pkwy,"Haltom City, TX 76117",Condo/Townhome,1010,1,1,575
3810 S Thompson Ave Unit 29,"Springdale, AR 72764",House,1375,3,2,
30/32 Gardner Dr,"Rome, GA 30161",Apartment,850,2,1,
712 Shanna Dr,"Van Buren, AR 72956",House,1375,3,2,1264
3510 Bougainvillea St Unit B,"Jacksonville, FL 32254",Apartment,1150,3,3,
3715 Rainbow Dr,"Rainbow City, AL 35906",Apartment,765,1,1,680
222 224 W Iowa,"Enid, OK 73701",Apartment,575,1,1,
1701 S West End St,"Springdale, AR 72764",Apartment,875,1,1,600 - 692
1311 Saint Andrews Dr,"Monroe, NC 28112",House,1925,3,2,1946
2509 Meadow Vw,"Fayetteville, AR 72704",Apartment,1100,2,2,1200
3805 W Sunset Dr,"Rogers, AR 72756",House,2400,4,3,2794
1402-1404 Atlanta St,"Fort Smith, AR 72901",Apartment,650,2,1,
1539 W Fourth Ave,"Hutchinson, KS 67501",Apartment,1250,3,2,1700
7731 N College Cir,"North Richland Hills, TX 76180",Apartment,1074,Studio,1,727
452 Moss Trl,"Goodlettsville, TN 37072",Apartment,1550,3,2,1240
100 Lewis Dr,"Goodlettsville, TN 37072",Apartment,1045,1,1,550
5805 Maryview Ter,"Haltom City, TX 76117",House,2400,4,3,2664
1601 E FM 1417 Apt 32,"Sherman, TX 75090",House,999,2,1,784
1509 Oak Grove Rd,"Van Buren, AR 72956",Other,850,3,1,
312 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
4385 Frazho Rd,"Warren, MI 48091",Apartment,1080,2,1,700
2130 Fendley Dr,"North Little Rock, AR 72114",Townhome,950,3,1.5,1266
729 N Rupple Rd,"Fayetteville, AR 72704",Townhome,1975,3,3,1847
1992 Bandoni Ave,"San Lorenzo, CA 94580",House,3960,4,2,1840
2509 Duncan St,"Saint Joseph, MO 64507",Apartment,875,2,1,895 - 924
5201 Springlake Pkwy,"Haltom City, TX 76117",Condo/Townhome,1311,2,2,956
900 W 16th St Apt 2,"North Little Rock, AR 72114",Apartment,767,1,1,
3167 Jane Ln Unit Bedroom,"Haltom City, TX 76117",House,515,1,1,
Gasaway Properties,"Rome, GA 30161",Apartment,1200,3,1,
6715 Buenos Aires Dr # 1011,"North Richland Hills, TX 76180",Apartment,1362,2,1,855
2803 2nd St,"Rainbow City, AL 35906",Apartment,775,2,1,850
307 W King St,"Tom Bean, TX 75090",House,1325,2,1,880
429 429 and 433 Branham Ave,"Rome, GA 30161",Apartment,895,2,1,
3412 Scott Cir Unit 3412,"Seguin, TX 78155",Duplex/Triplex,1695,3,2,1372
5301 Springlake Pkwy,"Haltom City, TX 76117",Condo/Townhome,1301,2,2,966
4404 W Alberta St,"Fayetteville, AR 72704",House,1695,3,2.5,1518
1598 Weyland Dr,"North Richland Hills, TX 76180",Condo/Townhome,1457,2,1,1065
2915 Lucoma Dr,"Jacksonville, FL 32254",House,1420,3,2,1300
1601 Weyland Dr # 2-0504,"North Richland Hills, TX 76180",Apartment,1700,2,2,1261
1624 Fresno St,"Fort Smith, AR 72901",Apartment,795,2,1,935
115 Ellington Way,"Easley, SC 29640",House,1150,3,2,1000
12230 Anne St,"Omaha, NE 68137",Apartment,895,1,1,650
299 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
105 Gettys Ln,"Easley, SC 29640",Apartment,1255,1,1,860
630 W Riverfront Dr,"North Little Rock, AR 72114",Apartment,1721,2,2,1329
803 S Rupple Rd Unit 2,"Fayetteville, AR 72704",Other,2400,3,3.5,1738
200 Stewart Dr Apt 29,"Easley, SC 29640",Apartment,1100,2,1,750
100 Lewis Dr,"Goodlettsville, TN 37072",Apartment,1395,2,1,900
5828 Antonio Pl,"Seguin, TX 78155",House,1970,4,2,1627
2828 W Hillshire Dr,"Fayetteville, AR 72704",Townhome,1250,2,2.5,1104
Morris Property,"Rome, GA 30161",Apartment,800,2,1,
5709 E Belknap St Apt 2125,"Haltom City, TX 76117",Apartment,1010,1,1,418
6816 S 137th Plz,"Omaha, NE 68137",Apartment,775,1,1,670
21 Chateau Dr SE,"Rome, GA 30161",Apartment,775,2-Jan,2-Jan,316
2302 San Jacinto Way,"Sherman, TX 75090",House,1845,3,2,1300
4234 W Mahogany Dr,"Fayetteville, AR 72704",House,1850,3,2,1445
3117 2nd Street Cir,"Jacksonville, FL 32254",House,1250,3,1,1008
8430 Fremont St,"Lincoln, NE 68507",Apartment,1171,1,1,682
9724 Virginia Centerway Pl,"Glen Allen, VA 23059",Apartment,1260,2,2,1100
800 N State Highway 123 Byp,"Seguin, TX 78155",Apartment,652,1,1,
3302 N Dixieland Rd,"Rogers, AR 72756",Apartment,1324,1,1,869
7259 Republic Ave Unit 1,"Warren, MI 48091",Apartment,1050,3,1,700
4801 S 31st St,"Fort Smith, AR 72901",Apartment,795,2,1,700
216 E Cherry St Unit 216,"Sherman, TX 75090",Duplex/Triplex,1597,3,2,1600
708 N Honey Locust Bnd,"Fayetteville, AR 72704",House,1395,2,2,694
5908 Geronimo Way,"Seguin, TX 78155",House,2145,4,3,1910
3 Dalry Ln,"Bella Vista, AR 72715",House,2250,2,2.5,2052
2415 Mary St,"Saint Joseph, MO 64507",House,925,2,1,984
1603 Azalea Cir,"Springdale, AR 72764",Apartment,975,2,1,900
3128 Sweetwater Way,"Sherman, TX 75090",House,1845,3,2,1614
292 E Compass Way,"Easley, SC 29640",Townhome,1749,3,2.5,1634
8606 Berndale St Rm 1,"Houston, TX 77029",Townhome,850,1,1,400
3821 Donald Dr,"Seguin, TX 78155",House,2000,4,2,
322 N 6th St,"Fort Smith, AR 72901",Apartment,650,1,1,525
76 Mulberry St,"Waterloo, IA 50703",Apartment,500,1,1,
311 W 5th St,"Lexington, NE 68850",Apartment,750,1,1,
3788 N Hills Ct,"North Richland Hills, TX 76117",House,1750,3,1.5,1182
718 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2054
223 Madison St Unit 1,"Waterloo, IA 50703",Apartment,750,2,1,816
806 E Baxter St Unit B,"Seguin, TX 78155",Duplex/Triplex,950,2,1,1396
15551 Adams St,"Omaha, NE 68137",Apartment,1099,2,2,1142
3117 N 90th St,"Lincoln, NE 68507",House,2400,4,4,2000
2320 Woodland Dr,"Seguin, TX 78155",House,1500,3,1,1152
3320 3320 Blackbird Ter,"Fayetteville, AR 72704",House,1395,2,2,694
940-552-2442 4125 Augusta,"Vernon, TX 76384",Apartment,758,3,2,996
2202 McCarty Ave,"Houston, TX 77029",Other,3800,Studio,,
306 Powell St,"Easley, SC 29640",House,1750,3,1,1410
1120 B and B Rd Apt 7,"Seguin, TX 78155",Condo,1100,2,1,550
